word,tag,sentence
wi,O,1
hebben,O,1
.ij.,B-MONEY,1
sc,I-MONEY,1
par,I-MONEY,1
vte,O,1
den,O,1
ghemene,O,1
dachwan-de,O,1
ter,O,1
doot,O,1
e,O,1
door,O,1
moet,O,1
derfachteghede,O,1
vzoeke,O,1
e,O,1
gheuen,O,1
onsen,O,1
meyere,O,1
.vi.,B-MONEY,1
d,I-MONEY,1
et,O,1
elken,O,1
van,O,1
se-uen,O,1
ghesuoren,O,1
laten,O,1
die,O,1
wi,O,1
daer,O,1
hebben,O,1
.i.,B-MONEY,1
d,I-MONEY,1
En,O,1
maecht,O,1
een,O,1
mensche,O,1
vzoeken,O,1
ouer,O,1
al,O,1
door,O,1
maer,O,1
de,O,1
meyer,O,1
e,O,1
de,O,1
late,O,1
vors,O,1
moeten,O,1
haer,O,1
recht,O,1
hebben,O,1
van,O,1
elken,O,1
dier,O,1
an,O,1
marchiert,O,1
hoe,O,1
dat,O,1
ne,O,1
waer,O,1
een,O,1
vzoect,O,1
dit,O,1
was,O,1
wetteleke,O,1
vcla-reert,O,1
bi,O,1
maninghen,O,1
va,O,1
boidin,B-PERS,1
keyacke,I-PERS,1
te,O,1
dien,O,1
tiden,O,1
onse,O,1
meyere,O,1
e,O,1
bi,O,1
vonnesse,O,1
va,O,1
zeuen,O,1
ghe-zuornen,O,1
laten,O,1
e,O,1
bi,O,1
consente,O,1
va,O,1
der,O,1
peuzen,O,1
zuste,O,1
e,O,1
broede,O,1
va,O,1
den,O,1
spet,O,1
e,O,1
ooc,O,1
bi,O,1
csente,O,1
va,O,1
ghemene,O,1
laten,O,1
die,O,1
wi,O,1
hebben,O,1
te,O,1
duseb,B-LOC,1
En,O,1
was,O,1
ghedaen,O,1
jnt,O,1
jaer,O,1
.m.ccc.,B-DATE,1
et,I-DATE,1
xxxiij.,I-DATE,1
sdonresdaechs,I-DATE,1
na,I-DATE,1
zentelucien,I-DATE,1
dach,I-DATE,1
Dat,O,2
moeten,O,2
weten,O,2
alle,O,2
die,O,2
sijn,O,2
ende,O,2
zelen,O,2
sijn,O,2
dat,O,2
pieter,B-PERS,2
pantijn,I-PERS,2
heeft,O,2
ghecocht,O,2
ende,O,2
wel,O,2
vergolden,O,2
ieghen,O,2
janne,B-PERS,2
den,I-PERS,2
mol,I-PERS,2
.xiiii,B-MONEY,2
sc,I-MONEY,2
parisise,I-MONEY,2
siaers,O,2
Erfeliker,O,2
renten,O,2
alsulker,O,2
munten,O,2
alse,O,2
de,O,2
heeren,O,2
van,O,2
den,O,2
lande,O,2
ontfaen,O,2
zelen,O,2
ghemeenlike,O,2
van,O,2
haren,O,2
renten.,O,2
te,O,2
gheldene,O,2
van,O,2
jare,O,2
te,O,2
jare,O,2
telken,O,2
kersauonde,B-DATE,2
Ende,O,2
voert,O,2
onbegrepen,O,2
te,O,2
sine,O,2
van,O,2
gheldene,O,2
tote,O,2
sentemarienlichtmesse,B-DATE,2
daer,O,2
naest,O,2
volghende,O,2
Ende,O,2
dese,O,2
vorseide,O,2
rente,O,2
so,O,2
hebben,O,2
de,O,2
vorseide,O,2
jan,B-PERS,2
ende,O,2
mergriete,B-PERS,2
sijn,O,2
moeder,O,2
bewijst,O,2
op,O,2
haerlieder,O,2
huus,O,2
en,O,2
erue,O,2
ligghende,O,2
teename,B-LOC,2
tusschen,O,2
quaethannijns,B-PERS,2
hofsteden,O,2
en,O,2
ians,B-PERS,2
sbeys,I-PERS,2
hofsteden.,O,2
Ende,O,2
van,O,2
desen,O,2
vorseiden,O,2
bewise,O,2
so,O,2
onterfden,O,2
hem,O,2
jan,B-PERS,2
en,O,2
mergriete,B-PERS,2
vorseit,O,2
wettelike,O,2
en,O,2
droughent,O,2
den,O,2
meyere,O,2
in,O,2
handen,O,2
te,O,2
pieters,B-PERS,2
bouf,O,2
vorseit,O,2
ouer,O,2
de,O,2
vorseide,O,2
rente,O,2
ende,O,2
wassere,O,2
pieter,B-PERS,2
vorseit,O,2
wettelike,O,2
in,O,2
gheerft.,O,2
Ende,O,2
voert,O,2
so,O,2
drouch,O,2
pieter,B-PERS,2
vorseit,O,2
weder,O,2
op,O,2
dit,O,2
vorseide,O,2
bewijs,O,2
janne,B-PERS,2
ende,O,2
mergrieten,B-PERS,2
vorseit,O,2
te,O,2
houdene,O,2
alsoe,O,2
langhe,O,2
alsij,O,2
de,O,2
vorseide,O,2
rente,O,2
wel,O,2
ghelden,O,2
ende,O,2
in,O,2
manieren,O,2
ware,O,2
dat,O,2
sake,O,2
dat,O,2
de,O,2
vorseide,O,2
renten,O,2
niet,O,2
al,O,2
betaelt,O,2
ne,O,2
ware,O,2
van,O,2
jare,O,2
te,O,2
jare,O,2
telken,O,2
sentemarienlichtmesse,B-DATE,2
dat,O,2
pieter,B-PERS,2
vorseit,O,2
soude,O,2
moghen,O,2
hant,O,2
slaen,O,2
an,O,2
dit,O,2
vorseide,O,2
bewijs,O,2
alsoe,O,2
hijt,O,2
dan,O,2
vonde,O,2
behouden,O,2
sheeren,O,2
rechte,O,2
ende,O,2
adelings,O,2
rechte,O,2
ende,O,2
dit,O,2
vorseide,O,2
bewijs,O,2
so,O,2
ne,O,2
moghen,O,2
jan,B-PERS,2
no,O,2
mergriete,B-PERS,2
vorseit,O,2
niet,O,2
argheren,O,2
maer,O,2
altoes,O,2
beteren,O,2
Dit,O,2
was,O,2
al,O,2
ghedaen,O,2
wettelijc,O,2
bi,O,2
maninghen,O,2
van,O,2
den,O,2
meyer,O,2
ende,O,2
bi,O,2
wijsdoume,O,2
van,O,2
scepenen,O,2
hier,O,2
ouer,O,2
was,O,2
jacop,B-PERS,2
willecois,I-PERS,2
alse,O,2
meyer,O,2
willem,B-PERS,2
de,I-PERS,2
keulneere,I-PERS,2
gillis,B-PERS,2
bernaerds,I-PERS,2
willem,B-PERS,2
de,I-PERS,2
houwere,I-PERS,2
jacop,B-PERS,2
de,I-PERS,2
temberman,I-PERS,2
boydin,B-PERS,2
dolislaghere,I-PERS,2
jan,B-PERS,2
bosch,I-PERS,2
ende,O,2
goeric,B-PERS,2
mouwe,I-PERS,2
alse,O,2
scepenen,O,2
van,O,2
eename.,B-LOC,2
Dit,O,2
was,O,2
ghedaen,O,2
jnt,O,2
jaer,O,2
ons,O,2
heeren,O,2
.m.ccc.,B-DATE,2
ende,I-DATE,2
xlvij.,I-DATE,2
sdonredaechs,I-DATE,2
naer,I-DATE,2
onser,I-DATE,2
vrouwen,I-DATE,2
dach,I-DATE,2
lichtmesse,I-DATE,2
Wij,O,3
lantscepenen,O,3
van,O,3
velzeke,B-LOC,3
maken,O,3
Cont,O,3
ende,O,3
kenleec,O,3
allen,O,3
den,O,3
ghenen,O,3
die,O,3
nu,O,3
sijn,O,3
en,O,3
hier,O,3
na,O,3
wesen,O,3
selen,O,3
Dat,O,3
Gilles,B-PERS,3
Claus,I-PERS,3
sone,O,3
was,O,3
van,B-PERS,3
massemine,I-PERS,3
Es,O,3
Comen,O,3
vor,O,3
Ons,O,3
En,O,3
heeft,O,3
vp,O,3
ghedreghen,O,3
wel,O,3
en,O,3
wetteleke,O,3
den,O,3
heere,O,3
jn,O,3
handen,O,3
Een,O,3
alf,O,3
buu,O,3
lants,O,3
ligghende,O,3
vp,O,3
den,O,3
bosch,O,3
neue,O,3
tsvos,B-PERS,3
lant,O,3
vor,O,3
dieperbeke,B-LOC,3
En,O,3
Een,O,3
dach,O,3
weeden,O,3
lettel,O,3
men,O,3
oft,O,3
meer,O,3
ligghende,O,3
jnt,O,3
heedekijn,O,3
te,O,3
laureins,B-PERS,3
bouf,O,3
van,B-PERS,3
lancackere,I-PERS,3
jn,O,3
der,O,3
manieren,O,3
dat,O,3
hier,O,3
na,O,3
volght,O,3
Dats,O,3
te,O,3
wetene,O,3
waert,O,3
also,O,3
dat,O,3
Jan,B-PERS,3
zeghers,I-PERS,3
sone,O,3
was,O,3
van,B-PERS,3
den,I-PERS,3
